aoi,aoi_sub,os_tms_url,gs_tms_url,prob_tms_url
1,1,https://tiles.rasterfoundry.com/tiles/52e89c9a-b621-45a9-932f-e58dfed5daac/{z}/{x}/{y}/?mapToken=fe5845ca-da61-4615-8156-686959e52d53,https://tiles.rasterfoundry.com/tiles/b5ad7126-d510-44c5-b19a-44803908f372/{z}/{x}/{y}/?mapToken=185b86ab-66c5-4524-bf45-91c677ffa939,
1,2,https://tiles.rasterfoundry.com/tiles/b92ccd9e-968a-44c7-9493-ec8be2664374/{z}/{x}/{y}/?mapToken=5415c85e-2dde-4329-9859-c3fa4550a186,https://tiles.rasterfoundry.com/tiles/3fe1f79d-eb94-4dd6-b926-4a7e1dd51d3f/{z}/{x}/{y}/?mapToken=c641dabb-2c32-4780-83b7-e647a44c6550,
1,3,https://tiles.rasterfoundry.com/tiles/7468f2cd-0e99-4e91-a21c-4d8a84170285/{z}/{x}/{y}/?mapToken=8786c8cb-cd05-40e9-8ae1-8ef29d7f546f,https://tiles.rasterfoundry.com/tiles/cf6ef3cd-27d1-4f77-b177-b9149da7c27f/{z}/{x}/{y}/?mapToken=77130851-abd8-46a2-9ada-f9bfe4f1fb09,
1,4,https://tiles.rasterfoundry.com/tiles/f057232c-be45-4123-94ff-fd0127f0b0ed/{z}/{x}/{y}/?mapToken=c62d9f3c-a358-4355-b490-2ac7790096d6,https://tiles.rasterfoundry.com/tiles/2208ef8b-7284-4c5f-8864-f54a6e173ce5/{z}/{x}/{y}/?mapToken=15552b07-ad68-4858-99c2-90fc4e7d3951,
1,5,https://tiles.rasterfoundry.com/tiles/2370630c-f2ca-4fcd-92db-fad688ec2c81/{z}/{x}/{y}/?mapToken=7dcee094-78d9-4c91-aa0c-6dd737f26b22,https://tiles.rasterfoundry.com/tiles/21ecf5cf-599d-41c5-b6c3-6b8a218d2d87/{z}/{x}/{y}/?mapToken=972e29b8-a7b6-4274-9e27-77cdb22469ef,
1,6,https://tiles.rasterfoundry.com/tiles/f11829d9-ff39-4cc0-a193-72c73bc64aa5/{z}/{x}/{y}/?mapToken=43cfa493-d8fa-417e-bb39-61ec31d2ccc7,https://tiles.rasterfoundry.com/tiles/cd01ed7d-341c-4ab2-8755-006ae028e5b0/{z}/{x}/{y}/?mapToken=544f328e-f90b-4cea-a92b-e52d3d98865f,
1,7,https://tiles.rasterfoundry.com/tiles/c13fdf1a-38ce-41fb-b6e3-132360a10ef3/{z}/{x}/{y}/?mapToken=42019e3f-490d-4708-a6cc-3660503cc0ac,https://tiles.rasterfoundry.com/tiles/db277569-58f9-4d1e-9e52-591c01f5c516/{z}/{x}/{y}/?mapToken=0644eaa0-63f8-49c0-b29f-9936c04504f2,
1,8,https://tiles.rasterfoundry.com/tiles/56c40704-3cc7-492a-b316-d027329d4c9a/{z}/{x}/{y}/?mapToken=3408289d-a153-4a94-be13-1140b1495862,https://tiles.rasterfoundry.com/tiles/fd94751c-e407-4465-be1f-e94e7f0a55c0/{z}/{x}/{y}/?mapToken=b0b619b4-c671-4d68-8079-9a9909deeb07,
1,9,https://tiles.rasterfoundry.com/tiles/e7bfd773-215e-4523-b5c1-3d1c51662aee/{z}/{x}/{y}/?mapToken=551e01e3-71d7-487f-a13b-e485f9b150b2,https://tiles.rasterfoundry.com/tiles/fb23dfc6-9faa-47b7-acc1-558574ffb27d/{z}/{x}/{y}/?mapToken=169de703-a4b8-430b-b84c-7f203ce85b04,
1,10,https://tiles.rasterfoundry.com/tiles/0b1b8165-2d36-4e6a-9300-8862c6ce94d7/{z}/{x}/{y}/?mapToken=6cd36801-3127-4951-b325-3082d861482e,https://tiles.rasterfoundry.com/tiles/96d239b4-7777-4089-9f2b-164b781473e8/{z}/{x}/{y}/?mapToken=74337afc-75d1-488f-a970-e8fd56591b95,
1,11,https://tiles.rasterfoundry.com/tiles/8eea7024-25cc-4c53-85d1-4dd7c1eac2b0/{z}/{x}/{y}/?mapToken=fb72dd5b-39ce-47b5-a131-c73a49a3148f,https://tiles.rasterfoundry.com/tiles/e1a88cd6-8736-4317-b208-9f981ef8d882/{z}/{x}/{y}/?mapToken=798c2933-b791-4735-a24c-936a4a4e56a9,
1,12,https://tiles.rasterfoundry.com/tiles/e48ad2b2-32a6-40ae-9256-a8bee71d70bc/{z}/{x}/{y}/?mapToken=2e14381c-7568-470d-9caa-1eeb2273678f,https://tiles.rasterfoundry.com/tiles/885ee226-9c49-495a-a914-cfe7d7d139a6/{z}/{x}/{y}/?mapToken=55135a92-565e-4166-950c-cc1c1af032a5,
1,13,https://tiles.rasterfoundry.com/tiles/0a70c762-eb75-447b-8dc9-5cf27c9c9220/{z}/{x}/{y}/?mapToken=b7dd9b34-4726-49d9-a0cb-a4ef18125937,https://tiles.rasterfoundry.com/tiles/30613fbd-a5f9-4549-814b-9aa04b5b7bed/{z}/{x}/{y}/?mapToken=68cc5a8c-e352-447d-80aa-6ca7107708bf,
1,14,https://tiles.rasterfoundry.com/tiles/1b47ee24-6557-4284-a361-3e3ae3259dad/{z}/{x}/{y}/?mapToken=e347d653-2334-42c7-8baa-1ca79f587d5a,https://tiles.rasterfoundry.com/tiles/50290d31-e791-423f-a927-ec1792070a1d/{z}/{x}/{y}/?mapToken=c32a348d-ebf2-4936-b51d-537878277d2d,
1,15,https://tiles.rasterfoundry.com/tiles/70a86620-5d7a-44bd-a1b8-cf81fb8a2549/{z}/{x}/{y}/?mapToken=350f49a4-5cf8-4881-a084-a984d43821c4,https://tiles.rasterfoundry.com/tiles/8d72863c-17f5-4e43-beb7-032ccfe404e9/{z}/{x}/{y}/?mapToken=69013e34-92b9-4cab-a6fc-352c4f22f6fb,
1,16,https://tiles.rasterfoundry.com/tiles/2babdcd3-bbbf-41e7-bb99-cfcbe4b5983c/{z}/{x}/{y}/?mapToken=54f6c5d9-28d7-46e8-88f9-684964cd8b06,https://tiles.rasterfoundry.com/tiles/d0edfa13-092d-4db4-8edf-ad0e6d584401/{z}/{x}/{y}/?mapToken=c9c5fb96-bd5d-4052-b2a7-481bd46f2946,
1,17,https://tiles.rasterfoundry.com/tiles/3660de0b-ba72-4ed4-90e2-c3853512bfbc/{z}/{x}/{y}/?mapToken=496aeee5-1b89-4196-932e-0e0d070b5328,https://tiles.rasterfoundry.com/tiles/d7654818-9f63-4376-ad39-482c97d0d409/{z}/{x}/{y}/?mapToken=de61034f-3174-4eda-8dcb-cf57222ec00c,
