,aoi,aoi_sub,os_tms_url,gs_tms_url,prob_tms_url
1,1,1,https://tiles.rasterfoundry.com/tiles/344ced4f-387b-42b2-8999-5e6012005ddb/{z}/{x}/{y}/?mapToken=7393aa89-325f-4a72-ba91-1c71290bcfb3,https://tiles.rasterfoundry.com/tiles/75cafa3f-7f15-4a35-ab65-e3e4aa876395/{z}/{x}/{y}/?mapToken=805b03d7-c3d6-4bc7-ae52-cb7947605bad,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
2,1,2,https://tiles.rasterfoundry.com/tiles/edcc2798-64d5-4da5-87ce-9c8b4645a410/{z}/{x}/{y}/?mapToken=a7d6adf7-f770-4641-835a-8534c3ee8654,https://tiles.rasterfoundry.com/tiles/20aff5c9-8d89-4ec2-8401-f4a00c86b591/{z}/{x}/{y}/?mapToken=0768a795-ed66-4958-8e5a-f2ef3968c9bf,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
3,1,3,https://tiles.rasterfoundry.com/tiles/5be9ef04-db61-43a2-b1bf-4b9cb7e0fb50/{z}/{x}/{y}/?mapToken=0060a7a8-360d-476b-8426-0f7067350c73,https://tiles.rasterfoundry.com/tiles/dcdabb4a-9b0a-4f99-9b9a-c8bc666ef488/{z}/{x}/{y}/?mapToken=549e96a8-04a8-49fe-9088-bfab1d76299f,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
4,1,4,https://tiles.rasterfoundry.com/tiles/c150fb77-f8ca-48a7-abca-a032eec41b79/{z}/{x}/{y}/?mapToken=c1bed96f-264a-4832-b612-80917dc656fc,https://tiles.rasterfoundry.com/tiles/7e3a2741-8bde-4ab8-bc7e-bb89bc0280d0/{z}/{x}/{y}/?mapToken=ad44a95e-708a-44df-82dc-7bee2a5e4558,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
5,1,5,https://tiles.rasterfoundry.com/tiles/fd06130a-53c6-42c2-84b1-70536cee52b5/{z}/{x}/{y}/?mapToken=07871cc7-b0be-49c1-b7f4-498950d6b3a8,https://tiles.rasterfoundry.com/tiles/ebbdcce6-2340-4465-aad9-068f902c9b39/{z}/{x}/{y}/?mapToken=50dbf318-4a0c-484d-b1d0-5a783439f997,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
6,1,6,https://tiles.rasterfoundry.com/tiles/3f3cee30-2141-4d81-bc62-6efcef6b9e3c/{z}/{x}/{y}/?mapToken=413fae38-b35e-4d0c-96d2-f8fe2f3b48af,https://tiles.rasterfoundry.com/tiles/b956c705-9595-436d-a702-efc55f759cac/{z}/{x}/{y}/?mapToken=3f2a32cf-6411-495d-bcbf-f29edfb98524,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
7,1,7,https://tiles.rasterfoundry.com/tiles/3806b43d-965d-4296-9e28-c4abbdd970ee/{z}/{x}/{y}/?mapToken=92d79a5e-ef97-461c-b618-f021495ea270,https://tiles.rasterfoundry.com/tiles/9c16b6cd-3cbb-4417-9661-b6fa373c4d52/{z}/{x}/{y}/?mapToken=9716a2aa-b39d-4223-a015-a69c12110a6a,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
8,1,8,https://tiles.rasterfoundry.com/tiles/820ff60c-1ca5-4707-83ba-60d0e7d202ca/{z}/{x}/{y}/?mapToken=2cbda9c0-04d9-4d8f-a3a2-2cb495f08893,https://tiles.rasterfoundry.com/tiles/791fcb00-b3d9-4208-bae9-45b75e2f099d/{z}/{x}/{y}/?mapToken=e72cb623-9ad8-4f10-90bf-dacc8b4d3afa,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
9,1,9,https://tiles.rasterfoundry.com/tiles/0f17a667-f98d-449b-b8e2-c873676a3dc6/{z}/{x}/{y}/?mapToken=f78e632c-cfc0-4764-8b09-36d83dada58e,https://tiles.rasterfoundry.com/tiles/d927f7e6-28f4-49c9-84e0-4453753dd0ab/{z}/{x}/{y}/?mapToken=c514a899-75b8-4d2f-8660-35b572c6c5be,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
10,1,10,https://tiles.rasterfoundry.com/tiles/618a4cbd-c8f9-45fb-98f4-4d14284113cf/{z}/{x}/{y}/?mapToken=ca924aec-034f-4bdd-bc68-56d812a463ee,https://tiles.rasterfoundry.com/tiles/4a2b3b53-f517-4f75-b48b-8608052ed670/{z}/{x}/{y}/?mapToken=b8bbcbe8-d7e0-477c-92aa-3eacfb32279f,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
11,1,11,https://tiles.rasterfoundry.com/tiles/3a524748-38c8-45fb-a750-21f03e6c32e9/{z}/{x}/{y}/?mapToken=ee3358d0-845e-4249-8f89-6bb54d656636,https://tiles.rasterfoundry.com/tiles/3afa4f72-7fb0-4022-bb2f-4078dd25b73b/{z}/{x}/{y}/?mapToken=1f756bae-86cb-4d8b-8b2c-89f7011b61d2,https://tiles.rasterfoundry.com/tiles/2e66da6a-47f6-4445-b7d3-609079cdba52/{z}/{x}/{y}/?mapToken=c84df5e2-3dbc-4598-bf0e-cd65c75930f8
