aoi,scene_id,season,tms_url
1,tile539601_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/de5444c8-1fe0-4e94-a737-cbc3344ac3fe/{z}/{x}/{y}/?mapToken=18607454-6305-462e-ba33-4a91531e8b05
1,tile539602_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/3d5c5a3c-63d6-4f03-8e71-9a2cb4498fc7/{z}/{x}/{y}/?mapToken=641d1245-634d-4e94-a83f-e5501d57a4df
1,tile539603_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/c5de3244-46fd-4d9a-a7b6-57dba53acb2a/{z}/{x}/{y}/?mapToken=c0d4ed22-1574-441f-9fee-3aab2afe4232
1,tile539604_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/72f3635c-0f5a-4ad0-8dfc-cb06d37c268a/{z}/{x}/{y}/?mapToken=84ea6a7f-09e0-4a46-9a3e-75ac37651fd9
1,tile539605_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/d01aae2d-437b-4581-9a48-c5deab265cc0/{z}/{x}/{y}/?mapToken=1ec1cf46-b536-4c57-a0ad-0c72217b476c
1,tile539606_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/22fe5000-743b-412d-bc6c-1f0d3c570416/{z}/{x}/{y}/?mapToken=42bbcecd-81b9-4ea9-b739-35b6f48e25e2
1,tile539607_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/7f704b5a-8bea-4bef-868a-b4f7e4c50c4b/{z}/{x}/{y}/?mapToken=809afa68-76ae-4b1c-bf23-6ff79e20641c
1,tile539608_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/82101362-c9e8-4293-bbe3-df0e6310424a/{z}/{x}/{y}/?mapToken=b9923b31-8cbd-424b-843f-220d0753fa25
1,tile539609_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/72bc308d-3804-4643-8979-cbea649bba53/{z}/{x}/{y}/?mapToken=c346d070-be62-4337-aa8c-0d8b57f13f20
1,tile539610_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/d212c005-e2ca-429c-88e0-953dcd45158c/{z}/{x}/{y}/?mapToken=41e64729-ffcf-41a4-85c6-73c1ce5dab06
1,tile539611_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/49e87ba9-84f3-4c0e-aa18-36529a178c6d/{z}/{x}/{y}/?mapToken=c76a73f8-c858-448d-a5c2-5f997b07b1f5
1,tile539612_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/1757128d-9fd6-46b3-9b27-4fad3649d0c3/{z}/{x}/{y}/?mapToken=65d6d0d9-52a1-409d-a5f3-da4ea63f72d8
1,tile539613_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/e73336bd-8738-4f15-9691-f089e47f529b/{z}/{x}/{y}/?mapToken=2afad7ae-d0e3-455b-8847-556849427b88
1,tile539614_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/d918ceda-cd53-49a1-8a29-c760114b5cfc/{z}/{x}/{y}/?mapToken=22d6a39e-a99b-4da2-b594-abb9e1e65472
1,tile539615_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/05cc6a8e-3b9a-415d-a00e-b6507f7a5c36/{z}/{x}/{y}/?mapToken=12182862-3c27-4977-b4a2-107bb4936bee
1,tile539616_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/d266b545-d92a-4f8a-a5b6-bb5d0f78a918/{z}/{x}/{y}/?mapToken=80331bed-6341-43b1-929a-f94359791a38
1,tile539617_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/c390a043-aed7-4aa0-be67-d8fe86bcb3d8/{z}/{x}/{y}/?mapToken=1beef584-593d-4695-a441-421da2c8e727
1,tile539618_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/19d135d4-9c99-4d35-b555-e0dc50ec024d/{z}/{x}/{y}/?mapToken=b120cd97-3477-4c22-9307-b15d5b3b20c0
1,tile539619_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/1c7dbc49-ecda-4c59-8cc0-933bc03bee54/{z}/{x}/{y}/?mapToken=dad9d64f-ccf7-4bb3-9f30-add31542ab1e
1,tile539620_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/f220430a-4329-49e3-bd6e-d50c9651e3a1/{z}/{x}/{y}/?mapToken=f3d3bf71-8f73-4424-b012-76d11d053891
1,tile539621_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/35daf6ca-3286-49c7-aa14-4c17da97194f/{z}/{x}/{y}/?mapToken=f7631cb5-1921-4486-805c-2e4e6b9a415a
1,tile539622_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/b9749fb3-8a95-461d-9c1b-e84415486d1b/{z}/{x}/{y}/?mapToken=6a0398fa-63a9-4ee0-87f6-c1d2437ddc1c
1,tile539623_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/94a3bf7c-3ab3-4d9f-ab4b-cf65a160a555/{z}/{x}/{y}/?mapToken=37220daa-ef50-4749-884b-a0b9d9b83a89
1,tile539624_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/087014d8-419d-41d8-a6cc-1e506ce71800/{z}/{x}/{y}/?mapToken=6a1b7743-b746-4224-a168-f6588106a29f
1,tile539625_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/e76d2f69-69d0-468d-9c3f-45683532e138/{z}/{x}/{y}/?mapToken=28bfec2f-985b-4227-bb3c-d4725831d95c
2,tile539626_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/7dfb62ec-ec65-4049-aaf1-ef1437b0379b/{z}/{x}/{y}/?mapToken=2e347e0f-a89c-4c24-9c36-8901234cdec6
2,tile539627_736815_736967,GS,https://tiles.rasterfoundry.com/tiles/1772c0cc-bc13-43cd-92d5-8b559e7d7f82/{z}/{x}/{y}/?mapToken=2e7d3d72-883f-4149-8272-00af0bf11448
